classifier,strategy,target_performance,target_f1_score,avg_labels_needed,std_labels_needed,savings_pct,relative_savings_pct,random_100_f1
Logistic Regression,Random Sampling,90,0.1694346387964887,500.0,374.16573867739413,92.37688672053666,0.0,0.18826070977387632
Logistic Regression,Entropy Sampling,90,0.1694346387964887,958.36,1425.4702208043493,85.38862631498705,-91.672,0.18826070977387632
Logistic Regression,Margin Sampling,90,0.1694346387964887,400.0,244.94897427831782,93.90150937642933,20.0,0.18826070977387632
Logistic Regression,Least Confidence,90,0.1694346387964887,400.0,244.94897427831782,93.90150937642933,20.0,0.18826070977387632
Logistic Regression,Random Sampling,95,0.1788476742851825,998.36,1233.5706507533323,84.77877725262998,0.0,0.18826070977387632
Logistic Regression,Entropy Sampling,95,0.1788476742851825,1535.08,2171.81654694866,76.59582253392286,-53.76016667334428,0.18826070977387632
Logistic Regression,Margin Sampling,95,0.1788476742851825,1456.72,1719.5363682109196,77.79051684708035,-45.91129452301775,0.18826070977387632
Logistic Regression,Least Confidence,95,0.1788476742851825,1456.72,1696.114772531623,77.79051684708035,-45.91129452301775,0.18826070977387632
Logistic Regression,Random Sampling,98,0.18449549557839878,3051.8,1892.2507656227806,53.471565787467604,0.0,0.18826070977387632
Logistic Regression,Entropy Sampling,98,0.18449549557839878,2670.16,2614.720064251621,59.29013569141638,12.505406645258546,0.18826070977387632
Logistic Regression,Margin Sampling,98,0.18449549557839878,2135.08,1764.8487509132335,67.44808659856686,30.038665705485297,0.18826070977387632
Logistic Regression,Least Confidence,98,0.18449549557839878,1636.72,1663.125407658725,75.04619606647354,46.36870043908513,0.18826070977387632
Naive Bayes,Random Sampling,90,0.02601561555935264,100.0,0.0,98.47537734410733,0.0,0.028906239510391823
Naive Bayes,Entropy Sampling,90,0.02601561555935264,100.0,0.0,98.47537734410733,0.0,0.028906239510391823
Naive Bayes,Margin Sampling,90,0.02601561555935264,100.0,0.0,98.47537734410733,0.0,0.028906239510391823
Naive Bayes,Least Confidence,90,0.02601561555935264,100.0,0.0,98.47537734410733,0.0,0.028906239510391823
Naive Bayes,Random Sampling,95,0.02746092753487223,100.0,0.0,98.47537734410733,0.0,0.028906239510391823
Naive Bayes,Entropy Sampling,95,0.02746092753487223,100.0,0.0,98.47537734410733,0.0,0.028906239510391823
Naive Bayes,Margin Sampling,95,0.02746092753487223,100.0,0.0,98.47537734410733,0.0,0.028906239510391823
Naive Bayes,Least Confidence,95,0.02746092753487223,100.0,0.0,98.47537734410733,0.0,0.028906239510391823
Naive Bayes,Random Sampling,98,0.028328114720183987,100.0,0.0,98.47537734410733,0.0,0.028906239510391823
Naive Bayes,Entropy Sampling,98,0.028328114720183987,100.0,0.0,98.47537734410733,0.0,0.028906239510391823
Naive Bayes,Margin Sampling,98,0.028328114720183987,100.0,0.0,98.47537734410733,0.0,0.028906239510391823
Naive Bayes,Least Confidence,98,0.028328114720183987,100.0,0.0,98.47537734410733,0.0,0.028906239510391823
Neural Network,Random Sampling,90,0.15848094617975528,1398.36,1069.1157796983448,78.68028662905931,0.0,0.17608994019972807
Neural Network,Entropy Sampling,90,0.15848094617975528,1696.72,1451.8883295901237,74.13142247293794,-21.336422666552256,0.17608994019972807
Neural Network,Margin Sampling,90,0.15848094617975528,1398.36,1069.1157796983448,78.68028662905931,0.0,0.17608994019972807
Neural Network,Least Confidence,90,0.15848094617975528,2293.44,1871.8466620960166,65.03369416069522,-64.00926799965676,0.17608994019972807
Neural Network,Random Sampling,95,0.16728544318974164,1696.72,1451.8883295901237,74.13142247293794,0.0,0.17608994019972807
Neural Network,Entropy Sampling,95,0.16728544318974164,2453.44,1826.5566310410416,62.59429791126695,-44.598990994389176,0.17608994019972807
Neural Network,Margin Sampling,95,0.16728544318974164,2155.08,1703.7863462300666,67.14316206738832,-27.0144749870338,0.17608994019972807
Neural Network,Least Confidence,95,0.16728544318974164,2831.8,1876.4341075561379,56.82573563043146,-66.89848649158378,0.17608994019972807
Neural Network,Random Sampling,98,0.1725681413957335,1696.72,1451.8883295901237,74.13142247293794,0.0,0.17608994019972807
Neural Network,Entropy Sampling,98,0.1725681413957335,2751.8,1916.1662140847802,58.0454337551456,-62.18350700174455,0.17608994019972807
Neural Network,Margin Sampling,98,0.1725681413957335,2453.44,1848.3260335774096,62.59429791126695,-44.598990994389176,0.17608994019972807
Neural Network,Least Confidence,98,0.1725681413957335,2991.8,1827.9028858229858,54.386339381003204,-76.32844547126221,0.17608994019972807
Random Forest,Random Sampling,90,0.20835428569531342,900.0,244.94897427831782,86.278396096966,0.0,0.23150476188368158
Random Forest,Entropy Sampling,90,0.20835428569531342,1198.36,1149.935889691247,81.72953194084465,-33.1511111111111,0.23150476188368158
Random Forest,Margin Sampling,90,0.20835428569531342,700.0,200.0,89.32764140875133,22.22222222222222,0.23150476188368158
Random Forest,Least Confidence,90,0.20835428569531342,1556.72,1589.1700102883892,76.26589419118768,-72.9688888888889,0.23150476188368158
Random Forest,Random Sampling,95,0.21992952378949748,2870.16,2463.4725519883514,56.24089037963105,0.0,0.23150476188368158
Random Forest,Entropy Sampling,95,0.21992952378949748,3030.16,2244.2472712248086,53.80149413020278,-5.574602112774201,0.23150476188368158
Random Forest,Margin Sampling,95,0.21992952378949748,1656.72,1579.2774682113334,74.74127153529501,42.27778242327954,0.23150476188368158
Random Forest,Least Confidence,95,0.21992952378949748,2911.8,2203.9775316459104,55.60603750571733,-1.4507901998494972,0.23150476188368158
Random Forest,Random Sampling,98,0.22687466664600794,2988.52,2572.4857413793375,54.436347004116485,0.0,0.23150476188368158
