classifier,strategy,target_performance,target_accuracy,avg_labels_needed,std_labels_needed,savings_pct,relative_savings_pct,random_100_acc
CNN,Random Sampling,90,0.89634,1933.3333333333333,235.70226039551582,96.77777777777777,0.0,0.9959333333333333
CNN,Entropy Sampling,90,0.89634,1933.3333333333333,235.70226039551582,96.77777777777777,0.0,0.9959333333333333
CNN,Margin Sampling,90,0.89634,1600.0,0.0,97.33333333333334,17.241379310344822,0.9959333333333333
CNN,Least Confidence,90,0.89634,2433.3333333333335,623.6095644623236,95.94444444444444,-25.862068965517253,0.9959333333333333
CNN,Random Sampling,95,0.9461366666666666,2433.3333333333335,235.70226039551588,95.94444444444444,0.0,0.9959333333333333
CNN,Entropy Sampling,95,0.9461366666666666,2600.0,408.248290463863,95.66666666666667,-6.849315068493143,0.9959333333333333
CNN,Margin Sampling,95,0.9461366666666666,1933.3333333333333,235.70226039551582,96.77777777777777,20.547945205479458,0.9959333333333333
CNN,Least Confidence,95,0.9461366666666666,2766.6666666666665,235.70226039551588,95.38888888888889,-13.698630136986287,0.9959333333333333
CNN,Random Sampling,98,0.9760146666666667,4266.666666666667,235.70226039551582,92.88888888888889,0.0,0.9959333333333333
CNN,Entropy Sampling,98,0.9760146666666667,3266.6666666666665,235.70226039551588,94.55555555555556,23.437500000000007,0.9959333333333333
CNN,Margin Sampling,98,0.9760146666666667,2933.3333333333335,235.70226039551588,95.1111111111111,31.25,0.9959333333333333
CNN,Least Confidence,98,0.9760146666666667,3266.6666666666665,235.70226039551588,94.55555555555556,23.437500000000007,0.9959333333333333
Naive Bayes,Random Sampling,90,0.5004000000000001,600.0,0.0,99.0,0.0,0.556
Naive Bayes,Entropy Sampling,90,0.5004000000000001,600.0,0.0,99.0,0.0,0.556
Naive Bayes,Margin Sampling,90,0.5004000000000001,600.0,0.0,99.0,0.0,0.556
Naive Bayes,Least Confidence,90,0.5004000000000001,600.0,0.0,99.0,0.0,0.556
Naive Bayes,Random Sampling,95,0.5282,600.0,0.0,99.0,0.0,0.556
Naive Bayes,Entropy Sampling,95,0.5282,600.0,0.0,99.0,0.0,0.556
Naive Bayes,Margin Sampling,95,0.5282,600.0,0.0,99.0,0.0,0.556
Naive Bayes,Least Confidence,95,0.5282,600.0,0.0,99.0,0.0,0.556
Naive Bayes,Random Sampling,98,0.54488,600.0,0.0,99.0,0.0,0.556
Naive Bayes,Entropy Sampling,98,0.54488,600.0,0.0,99.0,0.0,0.556
Naive Bayes,Margin Sampling,98,0.54488,600.0,0.0,99.0,0.0,0.556
Naive Bayes,Least Confidence,98,0.54488,600.0,0.0,99.0,0.0,0.556
Random Forest,Random Sampling,90,0.8720700000000001,766.6666666666666,235.70226039551582,98.72222222222223,0.0,0.9689666666666668
Random Forest,Entropy Sampling,90,0.8720700000000001,766.6666666666666,235.70226039551582,98.72222222222223,0.0,0.9689666666666668
Random Forest,Margin Sampling,90,0.8720700000000001,766.6666666666666,235.70226039551582,98.72222222222223,0.0,0.9689666666666668
Random Forest,Least Confidence,90,0.8720700000000001,766.6666666666666,235.70226039551582,98.72222222222223,0.0,0.9689666666666668
Random Forest,Random Sampling,95,0.9205183333333333,2266.6666666666665,235.70226039551588,96.22222222222223,0.0,0.9689666666666668
Random Forest,Entropy Sampling,95,0.9205183333333333,2100.0,0.0,96.5,7.352941176470582,0.9689666666666668
Random Forest,Margin Sampling,95,0.9205183333333333,1100.0,0.0,98.16666666666667,51.470588235294116,0.9689666666666668
Random Forest,Least Confidence,95,0.9205183333333333,1766.6666666666667,235.70226039551582,97.05555555555556,22.058823529411757,0.9689666666666668
Random Forest,Random Sampling,98,0.9495873333333334,9766.666666666666,471.40452079103164,83.72222222222223,0.0,0.9689666666666668
Random Forest,Entropy Sampling,98,0.9495873333333334,4266.666666666667,235.70226039551582,92.88888888888889,56.31399317406143,0.9689666666666668
Random Forest,Margin Sampling,98,0.9495873333333334,2100.0,0.0,96.5,78.49829351535837,0.9689666666666668
Random Forest,Least Confidence,98,0.9495873333333334,3100.0,408.248290463863,94.83333333333334,68.25938566552901,0.9689666666666668
