strategy,target_performance,target_accuracy,avg_labels_needed,std_labels_needed,savings_pct,relative_savings_pct,random_100_acc
Random Sampling,90,0.86958,1400.0,244.94897427831782,97.66666666666667,0.0,0.9662
Entropy Sampling,90,0.86958,1400.0,244.94897427831782,97.66666666666667,0.0,0.9662
Margin Sampling,90,0.86958,1100.0,0.0,98.16666666666667,21.428571428571427,0.9662
Least Confidence,90,0.86958,1100.0,0.0,98.16666666666667,21.428571428571427,0.9662
Random Sampling,95,0.9178899999999999,3400.0,244.94897427831782,94.33333333333334,0.0,0.9662
Entropy Sampling,95,0.9178899999999999,2600.0,316.22776601683796,95.66666666666667,23.52941176470588,0.9662
Margin Sampling,95,0.9178899999999999,2500.0,374.16573867739413,95.83333333333334,26.47058823529412,0.9662
Least Confidence,95,0.9178899999999999,2200.0,200.0,96.33333333333334,35.294117647058826,0.9662
Random Sampling,98,0.9468759999999999,23600.0,18236.008335159313,60.66666666666667,0.0,0.9662
Entropy Sampling,98,0.9468759999999999,4200.0,374.16573867739413,93.0,82.20338983050848,0.9662
Margin Sampling,98,0.9468759999999999,4300.0,400.0,92.83333333333333,81.77966101694916,0.9662
Least Confidence,98,0.9468759999999999,3600.0,316.22776601683796,94.0,84.7457627118644,0.9662
